"onetoken" "Freq" "do.call..rbind...strsplit.as.character..onetoken.onetoken...."
"31755" "the" 21838 "the"
"32227" "to" 11878 "to"
"1181" "and" 11259 "and"
"35" "a" 10557 "a"
"21995" "of" 9279 "of"
"15590" "in" 7248 "in"
"15281" "i" 6570 "i"
"31734" "that" 4757 "that"
"16323" "is" 4611 "is"
"12014" "for" 4589 "for"
"16371" "it" 3961 "it"
"22161" "on" 3446 "on"
"35612" "you" 3290 "you"
"35079" "with" 3261 "with"
"34438" "was" 2868 "was"
"20901" "my" 2370 "my"
"31910" "this" 2344 "this"
"1912" "at" 2311 "at"
"2674" "be" 2266 "be"
"1753" "as" 2261 "as"
"14201" "have" 2221 "have"
"4379" "but" 2169 "but"
"1601" "are" 2074 "are"
"14263" "he" 1978 "he"
"34524" "we" 1861 "we"
"12390" "from" 1742 "from"
"21653" "not" 1728 "not"
"4429" "by" 1533 "by"
"29338" "so" 1519 "so"
"16395" "its" 1511 "its"
"27312" "said" 1447 "said"
"31838" "they" 1421 "they"
"14693" "his" 1400 "his"
"22332" "or" 1388 "or"
"868" "all" 1366 "all"
"34935" "will" 1322 "will"
"22173" "one" 1290 "one"
"1142" "an" 1288 "an"
"19574" "me" 1287 "me"
"122" "about" 1247 "about"
"33574" "up" 1217 "up"
"14150" "has" 1185 "has"
"16887" "just" 1180 "just"
"34731" "what" 1178 "what"
"22503" "out" 1133 "out"
"15365" "if" 1096 "if"
"34755" "when" 1081 "when"
"34833" "who" 1074 "who"
"18184" "like" 1071 "like"
"20551" "more" 1055 "more"
"14478" "her" 1036 "her"
"35631" "your" 1026 "your"
"4616" "can" 1021 "can"
"34692" "were" 1012 "were"
"13800" "had" 958 "had"
"31772" "their" 949 "their"
"31814" "there" 938 "there"
"9027" "do" 932 "do"
"28426" "she" 928 "she"
"32136" "time" 897 "time"
"35265" "would" 896 "would"
"29455" "some" 881 "some"
"2790" "been" 873 "been"
"15432" "im" 844 "im"
"12908" "get" 835 "get"
"21288" "new" 812 "new"
"22499" "our" 794 "our"
"21481" "no" 783 "no"
"15045" "how" 722 "how"
"9156" "dont" 707 "dont"
"31776" "them" 700 "them"
"21716" "now" 697 "now"
"34773" "which" 679 "which"
"33666" "us" 659 "us"
"13215" "good" 656 "good"
"17305" "know" 642 "know"
"23370" "people" 638 "people"
"7822" "day" 634 "day"
"31717" "than" 626 "than"
"601" "after" 625 "after"
"979" "also" 617 "also"
"16152" "into" 598 "into"
"22477" "other" 594 "other"
"11624" "first" 584 "first"
"22585" "over" 576 "over"
"35527" "year" 563 "year"
"2743" "because" 559 "because"
"14652" "him" 549 "him"
"31788" "then" 539 "then"
"33057" "two" 537 "two"
"18624" "love" 536 "love"
"13173" "going" 533 "going"
"34645" "well" 532 "well"
"22221" "only" 531 "only"
"20726" "much" 523 "much"
"18962" "make" 520 "make"
"2265" "back" 518 "back"
"17685" "last" 518 "last"
"31879" "think" 514 "think"
"7022" "could" 508 "could"
"27995" "see" 499 "see"
"25699" "really" 495 "really"
"10610" "even" 492 "even"
"13129" "go" 491 "go"
"1018" "am" 472 "am"
"34514" "way" 468 "way"
"13271" "got" 457 "got"
"20601" "most" 447 "most"
"35541" "years" 439 "years"
"34386" "want" 432 "want"
"31943" "those" 427 "those"
"34758" "where" 426 "where"
"22000" "off" 424 "off"
"33971" "very" 424 "very"
"30263" "still" 422 "still"
"13446" "great" 415 "great"
"2807" "before" 413 "before"
"19140" "many" 413 "many"
"32336" "too" 413 "too"
"35207" "work" 407 "work"
"18341" "little" 404 "little"
"1387" "any" 402 "any"
"14491" "here" 398 "here"
"8555" "did" 392 "did"
"26725" "right" 390 "right"
"34777" "while" 390 "while"
"18859" "made" 381 "made"
"31830" "these" 380 "these"
"21160" "need" 365 "need"
"27579" "say" 362 "say"
"28608" "should" 362 "should"
"31746" "thats" 362 "thats"
"2846" "being" 359 "being"
"9250" "down" 350 "down"
"14816" "home" 347 "home"
"31238" "take" 343 "take"
"32013" "through" 335 "through"
"32246" "today" 332 "today"
"18131" "life" 331 "life"
"19460" "may" 330 "may"
"31867" "things" 319 "things"
"4663" "cant" 318 "cant"
"21280" "never" 313 "never"
"1677" "around" 312 "around"
"29469" "something" 310 "something"
"6164" "come" 305 "come"
"10639" "every" 304 "every"
"1305" "another" 301 "another"
"30107" "state" 301 "state"
"2986" "best" 296 "best"
"27713" "school" 293 "school"
"16406" "ive" 292 "ive"
"34587" "week" 291 "week"
"11434" "few" 288 "few"
"35232" "world" 287 "world"
